Issue Type,Patch Info,Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,FALCON-98 ,starting embedded hadoop fails sometimes,Shwetha G S,Shwetha G S,Major,Closed,Fixed,26/Aug/13 17:43,20/Mar/14 15:16,
New Feature,,DELTASPIKE-398 ,BeanProvider handling for @Dependent scoped beans,Mark Struberg,Mark Struberg,Major,Closed,Fixed,29/Jul/13 12:04,20/Mar/14 13:14,
Sub-task,,DELTASPIKE-387 ,DELTASPIKE-332 Create new bean-validation module,John D. Ament,John D. Ament,Major,Closed,Fixed,22/Jun/13 20:52,20/Mar/14 13:14,
Bug,,DELTASPIKE-412 ,Data-Module needs wildfly-managed profile,Thomas Hug,Ron Smeral,Major,Closed,Fixed,16/Sep/13 23:34,20/Mar/14 13:14,
Improvement,,DELTASPIKE-425 ,DependentProvider#destroy() must not destroy NormalScoped instances,Mark Struberg,Mark Struberg,Major,Closed,Fixed,10/Oct/13 12:35,20/Mar/14 13:14,
Bug,,DELTASPIKE-380 ,NPE in PartialBeanLifecycle if javassist not on classpath,Mark Struberg,Jozef Hartinger,Major,Closed,Fixed,06/Jun/13 18:54,20/Mar/14 13:14,
Improvement,,DELTASPIKE-429 ,Old property that could be removed in parent\pom.xml,John D. Ament,Karl Kildén,Minor,Closed,Fixed,21/Oct/13 00:23,20/Mar/14 13:14,
New Feature,,DELTASPIKE-454 ,Provide a ClientWindowRenderMode similiar to CODI,Thomas Andraschko,Thomas Andraschko,Major,Closed,Fixed,28/Nov/13 17:40,20/Mar/14 13:14,
Bug,,DELTASPIKE-416 ,@Folder's name check/resolution is broken,Gerhard Petracek,Thomas Andraschko,Minor,Closed,Fixed,01/Oct/13 13:30,20/Mar/14 13:14,
Bug,,DELTASPIKE-411 ,Data-Module Arquillian tests don't run on WildFly 8.0.0.Beta1 due to wrong management port,Thomas Hug,Ron Smeral,Major,Closed,Fixed,16/Sep/13 23:32,20/Mar/14 13:14,
New Feature,,DELTASPIKE-399 ,Incorporate Solder's ResourceLoader features into DeltaSpike,John D. Ament,Aaron Siri,Minor,Closed,Fixed,07/Aug/13 22:01,20/Mar/14 13:14,
Bug,,DELTASPIKE-397 ,MessageBundleInvocationHandler should ignore methods like hashCode() etc from Object.class,Mark Struberg,Mark Struberg,Major,Closed,Fixed,22/Jul/13 20:17,20/Mar/14 13:14,
New Feature,,DELTASPIKE-475 ,auto. registration of jobs with cron-expressions,Gerhard Petracek,Gerhard Petracek,Major,Closed,Fixed,20/Dec/13 19:25,20/Mar/14 13:14,
Improvement,,DELTASPIKE-366 ,basic test of properties usage in cdictrl openejb container,Romain Manni-Bucau,Romain Manni-Bucau,Major,Closed,Fixed,14/May/13 22:16,20/Mar/14 13:14,
Bug,,DELTASPIKE-471 ,support external handling of navigation-cases,Gerhard Petracek,Gerhard Petracek,Minor,Closed,Fixed,17/Dec/13 16:10,20/Mar/14 13:14,
Sub-task,,DELTASPIKE-388 ,DELTASPIKE-332 Add support for a ConstraintValidatorFactory that creates CDI enabled constraint validators,John D. Ament,John D. Ament,Major,Closed,Fixed,22/Jun/13 20:53,20/Mar/14 13:14,
Bug,,DELTASPIKE-516 ,"ClientWindowHelper.handleInitialRedirect mutilates URL, pathInfo is omitted",Thomas Andraschko,Thomas Frühbeck,Major,Closed,Fixed,03/Feb/14 01:35,20/Mar/14 13:14,
Bug,,DELTASPIKE-532 ,DeltaSpikeFacesContextFactory construction issue in non EE,Thomas Andraschko,Bryn Cooke,Major,Closed,Fixed,03/Mar/14 17:18,20/Mar/14 13:14,
Bug,,DELTASPIKE-541 ,Remove errant source directory,Thomas Andraschko,John D. Ament,Blocker,Closed,Fixed,16/Mar/14 19:28,20/Mar/14 13:14,
Bug,,DELTASPIKE-407 ,Tests for Servlet module incorrectly packaged,Christian Kaltepoth,Jozef Hartinger,Major,Closed,Fixed,30/Aug/13 14:14,20/Mar/14 13:14,
Task,,DELTASPIKE-401 ,"change GlobalAlternativeTest to work on Weld-2, Weld-1 and OWB",Mark Struberg,Mark Struberg,Major,Closed,Fixed,11/Aug/13 16:25,20/Mar/14 13:14,
Task,,DELTASPIKE-118 ,custom port for jbossas-build-managed-7,Christian Kaltepoth,Gerhard Petracek,Major,Closed,Fixed,10/Mar/12 01:56,20/Mar/14 13:14,
Bug,,DELTASPIKE-414 ,HttpServletRequest (and others) injection not working in servlet filters from web.xml,Christian Kaltepoth,Emond Papegaaij,Major,Closed,Fixed,01/Oct/13 11:30,20/Mar/14 13:14,
New Feature,,DELTASPIKE-500 ,Implement ds:disableClientWindow,Thomas Andraschko,Thomas Andraschko,Major,Closed,Fixed,14/Jan/14 02:46,20/Mar/14 13:14,
Bug,,DELTASPIKE-386 ,PropertyFileUtils.getResourceBundle() fails in EAR,Mark Struberg,Richard DiCroce,Major,Closed,Fixed,21/Jun/13 21:59,20/Mar/14 13:14,
Improvement,,DELTASPIKE-410 ,improve compatibility with mojarra,Gerhard Petracek,Gerhard Petracek,Major,Closed,Fixed,10/Sep/13 16:00,20/Mar/14 13:14,
Improvement,,DELTASPIKE-517 ,improved weld-support,Gerhard Petracek,Gerhard Petracek,Major,Closed,Fixed,06/Feb/14 14:38,20/Mar/14 13:14,
Bug,,DELTASPIKE-524 ,preserve view-parameters,Gerhard Petracek,Markus Schulz,Major,Closed,Fixed,18/Feb/14 17:19,20/Mar/14 13:14,
Bug,,DELTASPIKE-489 ,AbstractContext#getContextualStorage doesn't forward the current contextual,Mark Struberg,Gerhard Petracek,Critical,Closed,Fixed,03/Jan/14 03:29,20/Mar/14 13:14,
Task,,DELTASPIKE-497 ,Create build-managed test profiles for Glassfish,Christian Kaltepoth,Christian Kaltepoth,Minor,Closed,Fixed,11/Jan/14 14:21,20/Mar/14 13:14,
Bug,,DELTASPIKE-446 ,Current windowhandler.js is incompatible with PrimeFaces,Thomas Andraschko,Gerald Turner,Major,Closed,Fixed,22/Nov/13 03:10,20/Mar/14 13:14,
Improvement,,DELTASPIKE-341 ,Provide Integration between Faces Exceptions and Exception Handling,Thomas Andraschko,Cody Lerum,Major,Closed,Fixed,11/Apr/13 03:13,20/Mar/14 13:14,
New Feature,,DELTASPIKE-426 ,cdi support for jsf converters and validators,Gerhard Petracek,Gerhard Petracek,Major,Closed,Fixed,12/Oct/13 01:03,20/Mar/14 13:14,
New Feature,,DELTASPIKE-382 ,mask out passwords and other credentials in our Configuration logs,Mark Struberg,Mark Struberg,Major,Closed,Fixed,13/Jun/13 20:00,20/Mar/14 13:14,
Sub-task,,DELTASPIKE-30 ,"DELTASPIKE-2 review and discuss ""startup logging of module config""",Gerhard Petracek,Gerhard Petracek,Major,Closed,Later,21/Dec/11 21:50,20/Mar/14 13:14,
Improvement,,DELTASPIKE-460 ,@SkipMetaDataMerge for view-configs,Gerhard Petracek,Gerhard Petracek,Major,Closed,Fixed,05/Dec/13 21:41,20/Mar/14 13:14,
Bug,,DELTASPIKE-450 ,Secured ViewConfig's are not working as documented,Gerhard Petracek,John Schneider,Major,Closed,Invalid,24/Nov/13 06:34,20/Mar/14 13:14,
Bug,,DELTASPIKE-507 ,UserTransaction not available in WAS 8.0 and 8.5 during EJB CMT call,Mark Struberg,Stefan Strobl,Minor,Closed,Fixed,20/Jan/14 19:52,20/Mar/14 13:14,
Task,,DELTASPIKE-523 ,align event-packages,Jason Porter,Gerhard Petracek,Blocker,Closed,Fixed,18/Feb/14 05:12,20/Mar/14 13:14,
Bug,,DELTASPIKE-530 ,deactivatable extensions,Unassigned,Jean-Louis MONTEIRO,Major,Closed,Fixed,27/Feb/14 16:50,20/Mar/14 13:14,
Sub-task,,DELTASPIKE-31 ,DELTASPIKE-2 review and discuss StartupEventBroadcaster,Gerhard Petracek,Gerhard Petracek,Major,Closed,Won't Fix,21/Dec/11 21:54,20/Mar/14 13:14,
Task,,DELTASPIKE-428 ,update build for weld 2.1.x,Gerhard Petracek,Gerhard Petracek,Major,Closed,Fixed,17/Oct/13 15:59,20/Mar/14 13:14,
Task,,DELTASPIKE-447 ,upgrade tests to tomee 1.6.0,Romain Manni-Bucau,Romain Manni-Bucau,Major,Closed,Fixed,22/Nov/13 19:06,20/Mar/14 13:14,
Generated at Sat Mar 22 10:53:30 UTC 2014 by Aman Kaushik using JIRA 6.2#6252-sha1:aa343257d4ce030d9cb8c531be520be9fac1c996.,,,,,,,,,,,
